SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,Game_Type,UID_STG,PIE,PER,SALARY
2019-20,1626169,Stanley Johnson,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,28.56666667,9,16,0.563,4,8,0.5,1,3,0.333,0,4,4,6,5,1,1,0,5,2,23,5,0,0,Regular Season,2019-2016106127610021901318,14.62264151,25.10523921,3623000
2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,16.71666667,1,3,0.333,0,1,0,0,0,0,0,3,3,5,2,1,1,0,2,1,2,-2,0,0,Regular Season,2019-2016106127610021901318,5.188679245,10.52727817,25595700
2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,22.3,3,9,0.333,0,0,0,0,1,0,2,4,6,3,1,0,1,2,1,1,6,11,0,0,Regular Season,2019-2016106127610021901318,5.188679245,9.500313901,2500000
2019-20,1628778,Paul Watson,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,27.46666667,8,13,0.615,4,6,0.667,2,3,0.667,0,6,6,2,1,1,0,1,2,4,22,8,0,0,Regular Season,2019-2016106127610021901318,20.75471698,32.59241505,79568
2019-20,1626259,Malcolm Miller,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,25.61666667,4,5,0.8,2,3,0.667,0,0,0,1,0,1,3,0,1,0,0,4,1,10,3,0,0,Regular Season,2019-2016106127610021901318,8.962264151,20.938946,1588231
2019-20,1629744,Matt Thomas,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,28.3,4,6,0.667,2,3,0.667,2,2,1,1,2,3,2,2,1,0,0,4,2,12,7,0,0,Regular Season,2019-2016106127610021901318,8.962264151,16.88441696,898310
2019-20,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,21.5,3,8,0.375,1,3,0.333,2,3,0.667,4,5,9,0,1,0,1,1,2,2,9,5,0,0,Regular Season,2019-2016106127610021901318,7.075471698,17.13376744,1588231
2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,34.03333333,5,15,0.333,2,6,0.333,2,2,1,1,5,6,3,3,2,0,3,2,1,14,6,0,0,Regular Season,2019-2016106127610021901318,8.962264151,10.67673849,898310
2019-20,1629608,Dewan Hernandez,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,12.7,2,6,0.333,0,0,0,0,0,0,3,4,7,1,1,0,0,4,0,0,4,0,0,0,Regular Season,2019-2016106127610021901318,5.188679245,13.56204724,898310
2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,22.8,6,9,0.667,3,5,0.6,0,0,0,1,5,6,2,3,1,1,0,2,1,15,-3,0,0,Regular Season,2019-2016106127610021901318,15.09433962,27.73192982,10116576
2019-20,1629608,Dewan Hernandez,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,4.185,2,3,0.667,1,1,1,1,3,0.333,0,0,0,2,1,0,0,1,0,2,6,10,0,0,Regular Season,2019-2016106127610021901305,3.703703704,49.34456392,898310
2019-20,1629744,Matt Thomas,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,23.03333333,2,7,0.286,2,5,0.4,0,0,0,1,2,3,0,1,0,0,1,0,0,6,14,0,0,Regular Season,2019-2016106127610021901305,2.314814815,4.084992764,898310
2019-20,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,21.98333333,7,12,0.583,4,6,0.667,1,2,0.5,4,5,9,0,1,0,4,1,1,2,19,-8,0,0,Regular Season,2019-2016106127610021901305,18.51851852,43.45046247,1588231
2019-20,1628778,Paul Watson,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,5.133333333,1,1,1,0,0,0,2,2,1,0,1,1,1,1,1,0,0,0,1,4,2,0,0,Regular Season,2019-2016106127610021901305,5.555555556,44.60727273,79568
2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,19.06666667,4,8,0.5,2,4,0.5,1,1,1,0,5,5,1,2,2,1,0,1,1,11,-1,0,0,Regular Season,2019-2016106127610021901305,11.57407407,24.5175,25595700
2019-20,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,24.93333333,6,11,0.545,1,4,0.25,6,9,0.667,0,1,1,3,0,2,0,1,4,4,19,-4,0,0,Regular Season,2019-2016106127610021901305,12.03703704,30.07620321,34996296
2019-20,1626259,Malcolm Miller,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,10.77166667,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,6,0,0,Regular Season,2019-2016106127610021901305,-1.851851852,-6.826984373,1588231
2019-20,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,29.36666667,5,14,0.357,2,6,0.333,3,7,0.429,4,5,9,4,1,0,1,2,2,6,15,-4,0,0,Regular Season,2019-2016106127610021901305,9.722222222,19.0853462,2351839
2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,24.79833333,2,3,0.667,1,2,0.5,3,4,0.75,0,6,6,4,0,1,0,0,4,4,8,5,0,0,Regular Season,2019-2016106127610021901305,12.03703704,20.84744943,2500000
2019-20,1626169,Stanley Johnson,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,8.783333333,2,4,0.5,0,1,0,1,2,0.5,1,3,4,4,0,0,1,0,0,2,5,9,0,0,Regular Season,2019-2016106127610021901305,9.259259259,43.42349146,3623000
2019-20,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,25.53333333,3,11,0.273,1,3,0.333,3,3,1,0,2,2,6,0,0,0,3,1,3,10,-11,0,0,Regular Season,2019-2016106127610021901305,8.333333333,13.974047,9346153
2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,26.48333333,5,10,0.5,3,6,0.5,4,5,0.8,1,2,3,1,2,0,0,1,2,3,17,2,0,0,Regular Season,2019-2016106127610021901305,9.722222222,19.53300189,10116576
2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,0021901305,2020-08-12T00:00:00,TOR @ PHI,W,15.92833333,1,6,0.167,1,5,0.2,2,2,1,0,3,3,2,2,2,0,0,6,1,5,0,0,0,Regular Season,2019-2016106127610021901305,-0.925925926,2.877764989,898310
2019-20,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,29.15,9,15,0.6,3,7,0.429,4,5,0.8,5,6,11,2,0,2,2,0,3,3,25,12,1,0,Regular Season,2019-2016106127610021901294,29.6875,46.27128645,1588231
2019-20,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,28.16666667,5,16,0.313,1,7,0.143,3,4,0.75,1,6,7,2,0,2,0,0,2,3,14,8,0,0,Regular Season,2019-2016106127610021901294,10.9375,15.65300592,2351839
2019-20,1629744,Matt Thomas,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,37.13666667,9,17,0.529,4,8,0.5,0,0,0,0,4,4,1,0,0,0,3,1,2,22,13,0,0,Regular Season,2019-2016106127610021901294,18.75,20.00796158,898310
2019-20,1626169,Stanley Johnson,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,10.14666667,0,4,0,0,0,0,0,2,0,2,2,4,0,1,1,0,0,1,1,0,-2,0,0,Regular Season,2019-2016106127610021901294,-4.166666667,-10.47851511,3623000
2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,26.55,7,13,0.538,4,5,0.8,3,5,0.6,0,8,8,1,0,2,3,1,2,2,21,8,0,0,Regular Season,2019-2016106127610021901294,24.47916667,38.30357815,10116576
2019-20,1628778,Paul Watson,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,21.45,1,4,0.25,0,2,0,2,2,1,2,2,4,0,1,1,0,2,1,1,4,0,0,0,Regular Season,2019-2016106127610021901294,3.125,7.116550117,79568
2019-20,1628384,OG Anunoby,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,24.76666667,2,6,0.333,0,2,0,3,4,0.75,2,2,4,5,2,1,0,0,4,4,7,5,0,0,Regular Season,2019-2016106127610021901294,5.208333333,11.87442799,2281800
2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,20.01666667,0,5,0,0,4,0,0,0,0,0,5,5,8,3,0,1,0,4,0,0,-4,0,0,Regular Season,2019-2016106127610021901294,1.5625,-1.808293089,25595700
2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,16.46666667,5,8,0.625,0,1,0,0,0,0,2,1,3,0,0,1,0,0,6,0,10,-8,0,0,Regular Season,2019-2016106127610021901294,4.166666667,21.6145749,898310
2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,0021901294,2020-08-10T00:00:00,TOR @ MIL,W,26.15,4,9,0.444,0,4,0,3,4,0.75,2,3,5,5,6,1,0,0,3,5,11,8,0,0,Regular Season,2019-2016106127610021901294,6.25,9.293040153,2500000
2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,29.56666667,4,8,0.5,1,3,0.333,7,7,1,0,2,2,4,3,0,0,1,3,4,16,4,0,0,Regular Season,2019-2016106127610021901286,12.24489796,17.63678692,10116576
2019-20,201586,Serge Ibaka,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,25.11666667,5,9,0.556,2,3,0.667,0,2,0,4,8,12,3,2,3,2,0,4,2,12,-5,1,0,Regular Season,2019-2016106127610021901286,17.34693878,30.98142004,23271604
2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,6.083333333,1,3,0.333,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,1,0,0,Regular Season,2019-2016106127610021901286,1.020408163,6.53260274,898310
2019-20,1628384,OG Anunoby,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,27.985,2,8,0.25,2,5,0.4,0,0,0,1,4,5,0,1,3,1,2,2,0,6,10,0,0,Regular Season,2019-2016106127610021901286,5.102040816,8.963659103,2281800
2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,22.465,3,4,0.75,1,2,0.5,3,4,0.75,0,6,6,1,1,1,1,0,2,4,10,14,0,0,Regular Season,2019-2016106127610021901286,13.7755102,23.08043623,25595700
2019-20,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,35.68333333,9,16,0.563,4,9,0.444,4,6,0.667,0,1,1,3,4,1,1,0,3,7,26,7,0,0,Regular Season,2019-2016106127610021901286,15.81632653,22.35780476,2351839
2019-20,1629744,Matt Thomas,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,10.30333333,2,3,0.667,2,3,0.667,0,0,0,0,1,1,0,1,1,0,0,1,0,6,4,0,0,Regular Season,2019-2016106127610021901286,5.102040816,22.67974765,898310
2019-20,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,36.99333333,4,12,0.333,2,9,0.222,5,6,0.833,0,7,7,8,9,4,0,0,3,4,15,6,0,0,Regular Season,2019-2016106127610021901286,13.26530612,11.00538836,34996296
2019-20,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,35.25666667,4,7,0.571,1,3,0.333,5,6,0.833,0,3,3,5,3,4,2,0,4,5,14,8,0,0,Regular Season,2019-2016106127610021901286,16.32653061,21.9262929,9346153
2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,4.98,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,-3,0,0,Regular Season,2019-2016106127610021901286,1.020408163,-1.963052209,2500000
2019-20,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,0021901286,2020-08-09T00:00:00,TOR vs. MEM,W,5.566666667,0,0,0,0,0,0,1,2,0.5,0,0,0,0,1,0,0,0,0,1,1,-1,0,0,Regular Season,2019-2016106127610021901286,-1.020408163,-4.875988024,1588231
2019-20,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,27.96833333,3,6,0.5,0,3,0,5,5,1,0,2,2,2,3,3,1,0,3,6,11,-20,0,0,Regular Season,2019-2016106127610021901279,11.04651163,16.47652702,34996296
2019-20,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,14.31,3,3,1,2,2,1,1,1,1,0,5,5,1,2,0,1,0,3,1,9,8,0,0,Regular Season,2019-2016106127610021901279,12.20930233,27.68518519,1588231
2019-20,201586,Serge Ibaka,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,14.4,1,9,0.111,0,4,0,0,0,0,2,5,7,0,1,0,0,0,1,0,2,-22,0,0,Regular Season,2019-2016106127610021901279,-2.325581395,-10.19208333,23271604
2019-20,1628384,OG Anunoby,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,18.3,1,4,0.25,1,2,0.5,0,0,0,1,1,2,1,0,1,0,0,0,1,3,-15,0,0,Regular Season,2019-2016106127610021901279,4.069767442,8.883497268,2281800
2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,21.8,3,6,0.5,0,3,0,0,0,0,1,8,9,4,1,0,1,0,3,3,6,-14,0,0,Regular Season,2019-2016106127610021901279,13.95348837,16.94885321,25595700
2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,16.43333333,4,7,0.571,2,3,0.667,0,0,0,1,1,2,2,4,0,2,0,2,0,10,-3,0,0,Regular Season,2019-2016106127610021901279,6.395348837,17.11636917,898310
2019-20,1629744,Matt Thomas,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,13.31666667,2,4,0.5,2,4,0.5,0,0,0,0,0,0,2,0,0,1,0,0,0,6,7,0,0,Regular Season,2019-2016106127610021901279,7.558139535,22.94102628,898310
2019-20,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,30.83166667,4,14,0.286,1,6,0.167,4,6,0.667,0,4,4,4,1,2,1,1,1,4,13,-22,0,0,Regular Season,2019-2016106127610021901279,11.04651163,13.75676523,9346153
2019-20,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,27.99,5,15,0.333,1,5,0.2,0,0,0,0,2,2,0,2,1,0,0,4,0,11,-26,0,0,Regular Season,2019-2016106127610021901279,-2.325581395,-0.134762415,2351839
2019-20,1626169,Stanley Johnson,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,5.316666667,3,4,0.75,1,2,0.5,0,1,0,1,2,3,2,1,0,0,0,0,1,7,12,0,0,Regular Season,2019-2016106127610021901279,9.88372093,62.87153605,3623000
2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,29.32333333,4,11,0.364,0,4,0,3,3,1,1,4,5,0,1,1,0,1,0,5,11,-19,0,0,Regular Season,2019-2016106127610021901279,9.88372093,10.49890872,10116576
2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,14.14333333,5,6,0.833,0,0,0,1,1,1,2,3,5,2,1,0,0,0,0,1,11,-9,0,0,Regular Season,2019-2016106127610021901279,17.44186047,40.66672166,2500000
2019-20,1628778,Paul Watson,1610612761,TOR,Toronto Raptors,0021901279,2020-08-07T00:00:00,TOR vs. BOS,L,5.866666667,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,13,0,0,Regular Season,2019-2016106127610021901279,1.162790698,2.086363636,79568
2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,24.51666667,5,8,0.625,2,3,0.667,1,2,0.5,0,6,6,1,2,1,0,0,2,2,13,7,0,0,Regular Season,2019-2016106127610021901266,13.19796954,19.45297077,25595700
2019-20,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,0.646666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-1,0,0,Regular Season,2019-2016106127610021901266,0,-3.814948454,1588231
2019-20,1628384,OG Anunoby,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,31.72,5,7,0.714,0,0,0,2,2,1,0,5,5,1,1,0,1,1,1,1,12,17,0,0,Regular Season,2019-2016106127610021901266,14.72081218,16.43098991,2281800
2019-20,1629744,Matt Thomas,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,0.646666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,Regular Season,2019-2016106127610021901266,0,0,898310
2019-20,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,37.55,2,9,0.222,2,7,0.286,2,3,0.667,1,8,9,10,4,1,1,1,4,3,8,7,0,0,Regular Season,2019-2016106127610021901266,12.18274112,10.30684421,34996296
2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,14.55333333,2,5,0.4,0,0,0,3,4,0.75,0,1,1,1,0,0,0,0,1,3,7,-2,0,0,Regular Season,2019-2016106127610021901266,4.060913706,14.21694915,2500000
2019-20,1626259,Malcolm Miller,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,0.646666667,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,-1,0,0,Regular Season,2019-2016106127610021901266,2.030456853,144.8814433,1588231
2019-20,1626169,Stanley Johnson,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,0.646666667,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,-1,0,0,Regular Season,2019-2016106127610021901266,2.030456853,144.8814433,3623000
2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,21.61666667,5,10,0.5,3,6,0.5,1,1,1,0,2,2,0,0,0,0,0,1,2,14,4,0,0,Regular Season,2019-2016106127610021901266,10.15228426,20.72271396,10116576
2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,16.28,1,3,0.333,0,2,0,2,3,0.667,0,1,1,0,0,1,0,0,3,2,4,-7,0,0,Regular Season,2019-2016106127610021901266,0,6.032616708,898310
2019-20,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,33.60333333,5,12,0.417,2,7,0.286,3,4,0.75,0,6,6,1,7,1,0,1,2,3,15,13,0,0,Regular Season,2019-2016106127610021901266,6.091370558,4.296210693,2351839
2019-20,201586,Serge Ibaka,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,22.83666667,5,11,0.455,1,3,0.333,0,3,0,2,7,9,1,1,1,0,0,4,5,11,4,0,0,Regular Season,2019-2016106127610021901266,7.106598985,14.59074588,23271604
2019-20,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0021901266,2020-08-05T00:00:00,TOR @ ORL,W,34.73666667,8,13,0.615,2,5,0.4,3,4,0.75,0,4,4,10,0,1,0,1,2,3,21,11,1,0,Regular Season,2019-2016106127610021901266,28.42639594,32.83087036,9346153
2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,29.16666667,3,9,0.333,1,4,0.25,0,0,0,0,3,3,5,2,0,0,0,2,0,7,-5,0,0,Regular Season,2019-2016106127610021901250,5.555555556,5.132948571,10116576
2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,22.25,1,2,0.5,1,2,0.5,3,4,0.75,1,5,6,1,3,1,0,0,4,3,6,11,0,0,Regular Season,2019-2016106127610021901250,5,8.531820225,25595700
2019-20,1629744,Matt Thomas,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,0.818333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Regular Season,2019-2016106127610021901250,0,0,898310
2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,4.088333333,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,Regular Season,2019-2016106127610021901250,-1.111111111,-19.17162658,898310
2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,11.46166667,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,-6,0,0,Regular Season,2019-2016106127610021901250,-1.111111111,-8.121593718,2500000
2019-20,1628384,OG Anunoby,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,32.94833333,1,5,0.2,1,1,1,4,6,0.667,1,2,3,1,0,1,1,2,1,3,7,0,0,0,Regular Season,2019-2016106127610021901250,5.555555556,9.326693308,2281800
2019-20,201586,Serge Ibaka,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,25.75,7,12,0.583,1,4,0.25,0,0,0,1,5,6,0,2,0,0,0,1,0,15,-7,0,0,Regular Season,2019-2016106127610021901250,13.88888889,17.27899029,23271604
2019-20,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,35.06666667,2,8,0.25,1,2,0.5,9,9,1,0,8,8,5,4,1,2,2,4,6,14,10,0,0,Regular Season,2019-2016106127610021901250,16.66666667,15.65806084,34996296
2019-20,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,36.06666667,7,14,0.5,4,7,0.571,4,4,1,0,6,6,3,2,1,0,2,4,2,22,14,0,0,Regular Season,2019-2016106127610021901250,21.11111111,21.93515712,2351839
2019-20,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0021901250,2020-08-03T00:00:00,TOR @ MIA,W,42.38333333,8,16,0.5,7,12,0.583,13,13,1,0,5,5,4,4,1,0,2,3,8,36,1,0,0,Regular Season,2019-2016106127610021901250,34.44444444,31.71232403,9346153
2019-20,1626178,Rondae Hollis-Jefferson,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,5.063333333,0,1,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,1,0,0,-8,0,0,Regular Season,2019-2016106127610021901243,1.063829787,14.10138249,2500000
2019-20,1629056,Terence Davis,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,12.95,1,2,0.5,1,1,1,0,0,0,0,3,3,0,0,0,0,1,0,0,3,-15,0,0,Regular Season,2019-2016106127610021901243,5.319148936,11.01142857,898310
2019-20,201586,Serge Ibaka,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,19.13333333,2,6,0.333,0,2,0,0,0,0,1,3,4,0,3,0,2,1,5,1,4,2,0,0,Regular Season,2019-2016106127610021901243,-3.723404255,-3.70087108,23271604
2019-20,201188,Marc Gasol,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,24.75,3,7,0.429,0,2,0,2,2,1,0,7,7,2,2,0,0,1,5,3,8,18,0,0,Regular Season,2019-2016106127610021901243,6.382978723,7.001979798,25595700
2019-20,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,36.93333333,5,17,0.294,2,4,0.5,3,3,1,2,7,9,3,0,2,2,1,2,3,15,27,0,0,Regular Season,2019-2016106127610021901243,15.95744681,17.34219314,2351839
2019-20,1626181,Norman Powell,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,24.16666667,3,12,0.25,0,4,0,2,2,1,0,0,0,0,2,1,0,1,3,2,8,-22,0,0,Regular Season,2019-2016106127610021901243,-5.319148936,-4.415544828,10116576
2019-20,1628384,OG Anunoby,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,33.38666667,8,9,0.889,3,3,1,4,4,1,1,3,4,1,0,2,0,1,4,4,23,27,0,0,Regular Season,2019-2016106127610021901243,26.06382979,34.37980232,2281800
2019-20,1628778,Paul Watson,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,Regular Season,2019-2016106127610021901243,0,0,79568
2019-20,1628449,Chris Boucher,1610612761,TOR,Toronto Raptors,0021901243,2020-08-01T00:00:00,TOR vs. LAL,W,1.45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,Regular Season,2019-2016106127610021901243,-1.063829787,-27.02758621,1588231
